,id,Star_name,Radius,Mass,Distance
1,1,2MASS J00040288-6410358,0.16750368999999998,0.018137172,192.0
3,3,2MASS J00242463-0158201,0.11201167000000001,0.075412452,37.7
5,5,2MASS J00274197+0503417,0.14797871999999998,0.029592228,236.0
7,7,2MASSW J0030300-145033,0.10070773999999999,0.051547752,87.2
8,8,2MASS J00332386-1521309 [de],0.14695108999999998,0.027683052,131.0
9,9,2MASS J00345157+0523050,0.09659721999999998,0.040092696000000004,31.0
10,10,2MASS 0036+1821,0.09659721999999998,0.040092696000000004,28.6
11,11,2MASSW J0045214+163445,0.16647606,0.021955524,57.0
12,12,WISEP J004701.06+680352.1 [fr],0.13359189999999999,0.011455056,40.0
13,13,2MASS J00501994-3322402 [de],0.09659721999999998,0.03818352,34.0
15,15,2MASS J00584253-0651239 [de],0.14695108999999998,0.027683052,96.0
17,17,2MASSI J0103320+193536,0.10070773999999999,0.049638576000000004,70.0
18,18,SDSSp J010752.33+004156.1 [de],0.10070773999999999,0.049638576000000004,51.0
19,19,2MASSI J0117474-340325 [de],0.16647606,0.01909176,163.0
20,20,2MASS J01415823-4633574 [de],0.16544843,0.01909176,130.0
21,21,SDSS J015141.69+124429.6,0.09968010999999999,0.044865636,70.0
25,25,SDSS J020742.48+000056.2 [de],0.09968010999999999,0.044865636,111.0
26,26,2MASS J02103857-3015313,0.15722739,0.014318820000000001,101.0
27,27,2MASS J02340093-6442068,0.16647606,0.01909176,155.0
28,28,2MASS J02411151-0326587 [de],0.14489582999999998,0.025773876,152.0
29,29,2MASS J02431371−2453298,0.10173536999999999,0.031501404000000004,35.0
30,30,LP 771-21,0.11098404,0.074457864,53.0
32,32,2MASS J02535980+3206373,0.19524969999999997,0.06204822,184.0
33,33,WISE J0254+0223,0.19524969999999997,0.06204822,24.0
34,34,DEN 0255-4700,0.09968010999999999,0.07636704,16.2
35,35,2MASS J03185403-3421292 [de],0.09968010999999999,0.046774812,45.0
36,36,2MASS J03205965+1854233,0.11817744999999999,0.084003744,47.0
37,37,2MASS J03231002-4631237,0.17058658,0.021955524,192.0
38,38,SDSS J032553.17+042540.1,0.09762484999999999,0.04295646,59.0
39,39,2MASS J03264225-2102057 [de],0.13359189999999999,0.017182584,80.0
